model_name,prompt_price,completion_price,availability,billing_type,price_text,avg_price
claude-3-7-sonnet-20250219,3.0,15.0,不可用,按量计费,"提示 $3 / 1M tokens
补全 $15 / 1M tokens",9.0
claude-3-7-sonnet-20250219-thinking,3.0,15.0,不可用,按量计费,"提示 $3 / 1M tokens
补全 $15 / 1M tokens",9.0
claude-3-7-sonnet-latest,3.0,15.0,不可用,按量计费,"提示 $3 / 1M tokens
补全 $15 / 1M tokens",9.0
claude-3-haiku-20240307,1.0,5.0,不可用,按量计费,"提示 $1 / 1M tokens
补全 $5 / 1M tokens",3.0
claude-3-opus-20240229,15.0,75.0,不可用,按量计费,"提示 $15 / 1M tokens
补全 $75 / 1M tokens",45.0
claude-3-opus-latest,15.0,75.0,不可用,按量计费,"提示 $15 / 1M tokens
补全 $75 / 1M tokens",45.0
claude-3-sonnet-20240229,3.0,15.0,不可用,按量计费,"提示 $3 / 1M tokens
补全 $15 / 1M tokens",9.0
claude-instant-1.2,0.8,2.4000000000000004,不可用,按量计费,"提示 $0.8 / 1M tokens
补全 $2.4000000000000004 / 1M tokens",1.6
claude-opus-4-20250514,15.0,75.0,不可用,按量计费,"提示 $15 / 1M tokens
补全 $75 / 1M tokens",45.0
claude-opus-4-20250514-thinking,15.0,75.0,不可用,按量计费,"提示 $15 / 1M tokens
补全 $75 / 1M tokens",45.0
claude-sonnet-4-20250514,3.0,15.0,不可用,按量计费,"提示 $3 / 1M tokens
补全 $15 / 1M tokens",9.0
claude-sonnet-4-20250514-thinking,3.0,15.0,不可用,按量计费,"提示 $3 / 1M tokens
补全 $15 / 1M tokens",9.0
